vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes of Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.39	doen Vorst beginnen te worstelen : En alles in het wild woud hebben boschswyn ruig vinden borstel : grijpen vinden hebben ned , nochtans t'ontvlieden trachten , En alleszins uitkomst zoeken , en woeden mede dom kracht , gans ijdel en vergeefs : vermits hebben vol verschrikken , Door het woelen eng maken doen loods jaegerstricken : zo woelen en trachten hij ook bedompelt , om hebben vals , En blindgeweven kleden te worp vinden de hals : En in de weiden schieten , en plooien inwikkelen Alom zijn vijand zoeken , ancxtvalligh aengeprickelt .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.40	doen dochter vinden Tyndaer al woende , en rasend straks Verselt de gruwelmoord , gewapend mede een acx : En alsmen aen het outaer , op pleghtige offerseesten Voor het slaghte mede de bijl eest merct de nek de beest , En stier , alzo micktse , en wikken haar ' fel vuist Dan ginder , dan weder hier , en nemen ' et gewis en juist .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.41	hij leydter toen , doen schelm : weg hebben hy't . het zijn klinken mede deze dwingeland : wie wreedheyd hebben drinken het Neptuniaensche bloeden zo gretig , en zo hels .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.42	het Hoofd kwalijk afgehackt hand aen een lapken vels .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.43	Hier vloeien hebben schuymend rood daar grijns mond en oog .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.44	Cassandra , vol vinden God , te zadel komen ingevloogen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.45	En mede haar roosenhoed de lijcke d'uytterste eer bewijzen , en kransen de romp .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.46	zijde gaetse fluks te kaar mede d'acxe warm vinden bloeden , en dekken de sieleloosen mede zijn geroofden buit : die vallen doen roos , En fris bloem kreuken , en verven de Marmorvloer .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.47	liggen , roepen doen moorderes , liggen daar , nul Koningshoer !	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.48	nul schandvleck vinden ik bed !	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.49	nul kanker vinden goed ' zede !	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.50	die hebdy voor u ' lang gepleeghde vuiligheid .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.51	hebben dadelijk juichen hof , en vrolijk paleis geven nu een ' naar galmen , en zijn vol moordgeschreys .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.52	Electra zwijmen vinden schrikken : en anextigh voor haar moeder Verwoedheyd , bergen gezwind d'nnooselheyd de broeder , Door Phocius de Oom : zijde zelf in duisterheid , En vangenis bemuurt , een treurig leven liggen : Tot d'overspeelder haar ' , om achterdocht te schouw , doen mede een ' akkerman alles een ' boerin trouw : te tij toen die doen wraak doen moordenaar verrassen : Die , alsse in Pallas kerk doen groot god vasten mede blijdschap offeren , om Orestes overlijden , bespringen worp , en benart vinden al zijden .	Fear_Joy_Emotion_BodilyProcess_Anger_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.53	doen smarten geven wapen aen Dochter , en aen zoon .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.54	doen moedermoord bespat hebben aangezicht de god : Die toornig , en verhitten , om het schendig kerk ontwyen , dagvaart staande voet doen fel razernij , mede biesend slangenhayr , en ysselijck gegrim .	Emotion_BodilyProcess_Anger
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.55	doen neerslag knagen zij het harden .	BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.56	doen moederlijk schim , gewapend mede een ' toorts , heen naestapt door de tempel .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.57	zijde vlijen voor , en zien doen vloek op de drempel : zijn al mens vloek , om zulk een ' grouwelmoord : doen dak stierense ongehuysvest altijd voor .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.58	die leren na heilig bloeden vinden Godenkinders dorsten Tot in hebben derde lid .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.59	ik gade de vallen de vorstin , En koning voorbij .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.60	ik zwijgen hoe Grieckenland veroorzaken moord uit moord , en mengelen branden in branden , En uytroyt stammet stam , geslacht mede geslacht .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.61	Door schennis schennis boete , verkrachten mede verkrachten : En aen het gewijd slaan zijn ' vinger onbesuisd : En in zijn ' boezem wroeten : terwijl Ulysses kruisen doen zee velen ' jaar langen vinden het pekelschuym bedelven .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.62	smijten herwaarts , en derwaarts mede ik ' golf : sollen rollen , door zoet en zuur , door heten en kouten : weken vinden het natten : braden vinden hit , en zoor vinden het zout .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.63	naar die hij zijn ontslippen doen Caphareesche liggen , doen wind hij aen d'onherberglijcke oever jagen , vinden het fors Thracier volk : daar Hebrus koud vlijt zijn water lozen , en in d ' AEgeesche baar gieten : vinden derwaarts wederom naar d'Africaensche kust : daar zijn gezelschap zien te neder willen slaan , en rust , Vervlockt door het lekker oeft : dan na Trinacria , In het hol vinden Polipheem , de Cyclops : die te spade zijn ' dronkenschap beklagen ; om die hij nu in het duiken , En het rijzen vinden doen zinnen eenoogigh niet mogen bruycken de zienlijk God , en het aanbidden liggen : Dan tweemaal daar AEool zijn ' zetel hebben stichten : En over bui heersen , en breidelen dwarrelwind : Dan weer naar Antiphaet , ooit hongerig om verslinden hebben rouw mens vlees , waar hij het bekomen kennen : Dan bij doen toveres , een ' dochter vinden doen zon , Die haar verspieder fluks herscheppen kunnen in zwijn , En d'Ithakois verletten drie honderd zonneschijn : Tot dat in't scheyde zien mede Telegoon vertroosten .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.64	In wie schonen aanschijn zweven , en leven haar boelschaps kroos , vinden derwaarts wenden hij het roeren naar d'Oceaensche baar , En daelt daar onderaerdsche , en dootse schim waar : Dan wederom zijn schip aen Cieces orde sturen , daar mede lijckstacy hij Elpenoors uitvaart vuren .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.65	vinden hier lang d'oevers de soetsingende Sirenen : Die onder navelvisch , en boven maagd scheen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.66	ik zwijgen hoe hij het gevaar vinden Scylle .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.67	en vinden Charybd , haar draeystroom , branding , kolk , en woest gesteente ontslippen , doen rots witten vinden schuim , en grondeloos afgrond , En het blaffen gehuyl de blauw , en zeegroen hond : En landen daar Phaetuse haar vader beest hoeden : Die het hongerig scheepsvolk slachten , wie zonde Ulysses boete : mede schipbreuk , alles hij naakt tot berging vinden zijn leven , naar negen dag bij Calypso komen drijven : Die alles hij zijn ontrukken doen kaak vinden doen dood , hij zeven jaar stoven , en koesteren in haar schieten , En leren de griek , mede minnen te stoken , en te les , Hoe zoet d'omhelsing zijn , en bijslaap de Godessen : te tij toen dat een ' zoon , en schoon Dochter telen : deze op doen moer trekken , die zijn sijns vader beeld .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.68	naar die hij vinden haar scheiden , en zijde het niet kunnen ontzeggen , En zien Phaeacien mede blijdschap voor zien liggen , ik mijn dryetand reppen , en breken zijn ' nieuw kiel .	Joy_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.69	Leucothoe die bergen zijn half versoope ziel .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.70	doen stranden ontvangen hij naakt .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.71	hier schuilen hij in doen brand .	None
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.72	doen Koninglijcke maagd medoogende , gewaad verschaffen de vreemdeling , begaan om Peneloop , hij vinden zijn eegemael te laatst mede een ' hopen verliefd vrijer , die vasten naar haar kuyscheyd ding , Becingelt , en omheinen , en koomtse stout bespringen , En storten heen overhoop , en vallen na lang ellend In arm sijner bruid .	EmotionalAction_Compassion
vond001pala01_01.TEI.2.text.body.div.sp.3587.s.73	mare voor hebben dreigement de heilig godsspraak [ die hij waarschuwen voor zijn ' bastaard ] bevreesd , onzinnig hij doen groot god lasteren , En zien bezijden zijn weg in eensaemheyd versteken : te tij toen Telegoon , door Circes zorg kweken , Belust t'aenschouwen een hebben aangezicht sijns vader hij onbekend verwond , en doodlijck kwetsen in d'aders , mede een vergiftig , en daar toen bescheerde doorn : waar aen doen booswicht sterven , en blussen Neptunus toren .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.3596.s.1	Grootvader vluchtge u ' zoon , en laetge hij in deze lijden troosten mede woord , en mede schoon Prophecyen , En martghe mede u ' wraak .	Emotion_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.3596.s.2	nul Vader : wat zullen het zijn ?	None
vond001pala01_01.TEI.2.text.body.div.sp.3596.s.3	hebben menselijk geslaght worden welig .	None
vond001pala01_01.TEI.2.text.body.div.sp.3596.s.4	op Jupijn !	None
vond001pala01_01.TEI.2.text.body.div.sp.3596.s.5	de Hemel worden bestormen , beklimmen vinden doen boosheid de nieuw reus , op , en bliksem hunn ' goddeloosheid .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.3599.s.1	PRIAEM .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.3599.s.2	HECUBA .	None
vond001pala01_01.TEI.2.text.body.div.sp.3613.s.1	deze ongeluk zijn hij voor wij te spade beschooren , waar deze wat eer gebeuren , nooit hebben wie verliezen zo velen beroemd stenen , tot nadeel vinden het gemeen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3613.s.2	Nu Griecxsche wijsheid lopen , en raeskal zonder brein .	None
vond001pala01_01.TEI.2.text.body.div.sp.3613.s.3	het huis vinden Assaracus hebben zelf Pelops hand de groot vijand de Trojaenen aen zien rand , En onder het decxsel vinden meinedig landverraed zo schendig doemen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3613.s.4	vaart nu wel , nul Griecxschen staat !	None
vond001pala01_01.TEI.2.text.body.div.sp.3613.s.5	nul raedeloose macht , die in u ' degen strompelen , dromen vinden gheen Trojen meer : waken om niet overompelt Te worp , nog verrassen vinden Hectors schittrigh staal ,	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.3614.s.1	HECV .	None
vond001pala01_01.TEI.2.text.body.div.sp.3617.s.1	Die zegenen dout op wij uit zijn hemel mild zadel .	None
vond001pala01_01.TEI.2.text.body.div.sp.3617.s.2	doen god toon zien op heden goedertieren .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.3618.s.1	PRI .	None
vond001pala01_01.TEI.2.text.body.div.sp.3620.s.1	ik willen die Hof , en Stad op deze tijding vier .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.3622.s.1	rijden vinden trojaans MAEGDEN .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.1	trojaans wijdberoemde jeugd , zengen Pallas lof , en juichen vinden vreugde , En eren mede kerk gebaar haar ' drempel en outaeren .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.2	doen feestelijk schaar danss '; En schudd ' voor haar de lauwerkrans .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.3	die maagdelijk pruycken In groen olyven duiken : En het haar mede zilver niet vertuien , noch ' Paerlesnoer , mare alles een ' bruid de wit hals bekleede , En dek ' naar d'oude zede .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.4	die Asien te samen schuilen ': het zijde die op d'oevers vinden Pactool het gouden schemeren zien , en blinken : Of die Meander drinken : Of treden Caysters boord , die witten vinden langgehalsde zwaan zitten , Die in doen zuiver plas , haar ' blank pluimen zijn : het zijde het volk vinden Sagaris besproeien , Die d'Anckers schuren , en bochtig vloeien : het zijde het geren verdrijven balling noch voeder hebben , noch stalling Voor Griecxsche klepper , en mede druk vlieden herwaarts , om Achilles juk , En heerschappij te schouw In veilig landouw : En voor Caicus Xanthus keur , En d Iliasche vasten voor Lyrnes : wie zwak muur geren storm en verduren .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.5	wekken heylgen galmen , en huwen u ' keel Aen luiden , en zangerig velen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.6	wild helder stem paar mede speld vinden wind snaar : En trekken mede goddelijk luiden doen blijde ziel te oor uit : gelijk mede maetgesangen gij Paris ginght ontvangen : doel op hebben water rijden aen rijden , mede vreugde ontmoete zijn galei , En welkom heet vinden hart doen schoon bruid vinden Sparten .	Joy_Emotion_BodyPart_BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.7	Die Proteus branden mede haar ' minnen , En uytblonck alles een ' Zeegodin : zo Venus komen bepeerelt In het parelmoer te wereld : En doel doen schoonheyt vinden Heleen Niet sterfelijk , mare een ' zon scheiden : Die sierlijk uitstrijken , hebben hoofd eest op komen steken : En in hebben zilver vinden de vloed haar ' goud pruycke schitteren doen : En in het kristal het verguldsel zien spiegelen vinden haar hulsel .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.8	nul dochter vinden de Dondergod , Minerve , gny bewaken hebben slot vinden u godsdienstig Trojen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.9	doen vijand verstrooien : En Agamemnon zuipen verwoed zijn trouw raedsmans edel bloeden .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.10	hebben leger goed zijn ' speer Nu tegen Argos karn .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.11	Mycenen vinden verstand beroven , haar wijsheyts beckeneel doorklooft : En lang hebben veld lopen scharren mede d'uytgetogene hersenen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.12	stad groot vijand voor doen poort liggen vinden zijn eigen volk vermoorden .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.13	Lof lof zijde uw Godesse , nul strijtbre krijger !	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.14	Voor uw galmen het vrolijk geschrei , Voor uw klinken ruyspijp en schalmei .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.15	Voor uw gehuwde vrouw , En juffer feestdagh houden : En mede vermengen reien treden naar witten Albast , en Marmorsteen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.16	doen priester op u ' drempel ontsluiten al tempel : zo fluks het Goddinnebeeld genaken die over Dardans stamhuis waken .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.17	doen schaar naar uw tocht , En zijn mede geloven bevlochten .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.18	Stockoude grijsaard leven zitten , Hunn ' wensen deelachtig , komen meten uw offerwynen brengen , En sidderende plengen .	None
vond001pala01_01.TEI.2.text.body.div.sp.3721.s.19	FINIS .	None
